customer_id,first_order_date,first_employee_id,first_employee_first_name,last_order_date,last_employee_id,last_employee_first_name
ALFKI,1997-08-25,6,Michael,1998-04-09,3,Janet
ANATR,1996-09-18,7,Robert,1998-03-04,4,Margaret
ANTON,1996-11-27,3,Janet,1998-01-28,3,Janet
AROUT,1996-11-15,6,Michael,1998-04-10,9,Anne
BERGS,1996-08-12,8,Laura,1998-03-04,3,Janet
BLAUS,1997-04-09,9,Anne,1998-04-29,9,Anne
BLONP,1996-07-25,2,Andrew,1998-01-12,6,Michael
BOLID,1996-10-10,4,Margaret,1998-03-24,9,Anne
BONAP,1996-10-16,9,Anne,1998-05-06,4,Margaret
BOTTM,1996-12-20,4,Margaret,1998-04-24,7,Robert
BSBEV,1996-08-26,7,Robert,1998-04-14,1,Nancy
CACTU,1997-04-29,8,Laura,1998-04-28,8,Laura
CENTC,1996-07-18,4,Margaret,1996-07-18,4,Margaret
CHOPS,1996-07-11,5,Steven,1998-04-22,3,Janet
COMMI,1996-08-27,8,Laura,1998-04-22,2,Andrew
CONSH,1997-02-04,8,Laura,1998-01-23,7,Robert
DRACD,1996-11-26,4,Margaret,1998-05-04,1,Nancy
DUMON,1996-09-20,1,Nancy,1998-02-16,7,Robert
EASTC,1996-11-26,1,Nancy,1998-04-28,8,Laura
ERNSH,1996-07-17,1,Nancy,1998-05-05,4,Margaret
FAMIA,1996-11-06,4,Margaret,1997-10-31,4,Margaret
FOLIG,1997-01-08,8,Laura,1997-12-22,1,Nancy
FOLKO,1996-07-24,6,Michael,1998-04-27,8,Laura
FRANK,1996-07-29,4,Margaret,1998-04-09,1,Nancy
FRANR,1997-09-17,1,Nancy,1998-03-24,2,Andrew
FRANS,1997-01-22,2,Andrew,1998-04-30,2,Andrew
FURIB,1996-10-14,4,Margaret,1998-03-19,9,Anne
GALED,1996-11-28,8,Laura,1998-03-05,1,Nancy
GODOS,1996-09-11,7,Robert,1998-04-21,7,Robert
GOURL,1997-01-23,6,Michael,1998-04-24,3,Janet
GREAL,1997-05-06,6,Michael,1998-04-30,4,Margaret
GROSR,1996-07-30,8,Laura,1997-12-18,1,Nancy
HANAR,1996-07-08,4,Margaret,1998-04-27,3,Janet
HILAA,1996-07-16,4,Margaret,1998-04-28,7,Robert
HUNGC,1996-12-06,3,Janet,1997-09-08,8,Laura
HUNGO,1996-09-05,6,Michael,1998-04-30,3,Janet
ISLAT,1996-09-26,4,Margaret,1998-03-06,6,Michael
KOENE,1996-10-07,4,Margaret,1998-04-16,2,Andrew
LACOR,1998-01-29,2,Andrew,1998-03-24,4,Margaret
LAMAI,1996-11-11,6,Michael,1998-04-27,7,Robert
LAUGB,1997-04-03,3,Janet,1998-01-01,2,Andrew
LAZYK,1997-03-21,1,Nancy,1997-05-22,8,Laura
LEHMS,1996-08-13,8,Laura,1998-05-05,2,Andrew
LETSS,1997-06-25,1,Nancy,1998-02-12,4,Margaret
LILAS,1996-08-16,3,Janet,1998-05-05,1,Nancy
LINOD,1997-01-06,1,Nancy,1998-04-21,1,Nancy
LONEP,1996-09-17,2,Andrew,1998-04-13,4,Margaret
MAGAA,1996-08-07,1,Nancy,1998-03-16,1,Nancy
MAISD,1997-05-07,5,Steven,1998-04-07,3,Janet
MEREP,1996-10-17,3,Janet,1997-10-30,8,Laura
MORGK,1996-08-09,2,Andrew,1998-03-12,4,Margaret
NORTS,1997-04-24,3,Janet,1998-04-29,3,Janet
OCEAN,1997-01-09,3,Janet,1998-03-30,8,Laura
OLDWO,1996-09-13,8,Laura,1998-04-20,8,Laura
OTTIK,1996-07-19,4,Margaret,1998-04-14,2,Andrew
PERIC,1996-10-04,7,Robert,1998-05-05,2,Andrew
PICCO,1996-11-13,7,Robert,1998-04-27,2,Andrew
PRINI,1996-10-23,7,Robert,1998-04-08,8,Laura
QUEDE,1996-07-19,4,Margaret,1998-03-31,2,Andrew
QUEEN,1996-12-04,5,Steven,1998-05-04,8,Laura
QUICK,1996-08-05,3,Janet,1998-04-14,3,Janet
RANCH,1997-02-17,4,Margaret,1998-04-13,6,Michael
RATTC,1996-07-22,8,Laura,1998-05-06,1,Nancy
REGGC,1996-08-23,4,Margaret,1998-04-30,4,Margaret
RICAR,1996-08-22,8,Laura,1998-04-29,2,Andrew
RICSU,1996-07-12,9,Anne,1998-05-06,8,Laura
ROMEY,1996-08-14,4,Margaret,1998-04-09,2,Andrew
SANTG,1996-12-18,1,Nancy,1998-04-10,2,Andrew
SAVEA,1996-10-08,9,Anne,1998-05-01,1,Nancy
SEVES,1996-11-21,5,Steven,1998-02-04,5,Steven
SIMOB,1996-10-29,7,Robert,1998-05-06,7,Robert
SPECD,1997-11-12,2,Andrew,1998-04-22,5,Steven
SPLIR,1996-08-01,6,Michael,1998-03-25,3,Janet
SUPRD,1996-07-09,4,Margaret,1998-04-21,1,Nancy
THEBI,1996-09-20,8,Laura,1998-04-01,1,Nancy
THECR,1997-08-07,4,Margaret,1998-04-06,3,Janet
TOMSP,1996-07-05,6,Michael,1998-03-23,2,Andrew
TORTU,1996-08-08,8,Laura,1998-05-04,1,Nancy
TRADH,1996-08-28,1,Nancy,1998-01-19,3,Janet
TRAIH,1997-06-19,4,Margaret,1998-01-08,6,Michael
VAFFE,1996-11-28,7,Robert,1998-04-02,2,Andrew
VICTE,1996-07-08,3,Janet,1998-01-23,1,Nancy
VINET,1996-07-04,5,Steven,1997-11-12,3,Janet
WANDK,1996-09-09,8,Laura,1998-04-23,8,Laura
WARTH,1996-07-26,3,Janet,1998-04-15,6,Michael
WELLI,1996-07-15,3,Janet,1998-03-09,4,Margaret
WHITC,1996-07-31,5,Steven,1998-05-01,7,Robert
WILMK,1997-07-30,2,Andrew,1998-04-07,2,Andrew
WOLZA,1996-12-05,1,Nancy,1998-04-23,4,Margaret
